"num_docks_disabled","is_returning","num_docks_available","is_installed","num_ebikes_available","station_id","num_bikes_available","is_renting","num_scooters_available","last_reported","num_scooters_unavailable","num_bikes_disabled","fecha_hora"
0,1,9,1,2,"a3b3915a-a135-11e9-9cda-0a87ae2ba916",10,1,0,1774036502,0,0,2026-03-20 19:55:02
0,1,12,1,0,"1958859639339458778",2,1,0,1774036502,0,0,2026-03-20 19:55:02
0,1,10,1,0,"1981488728284770592",5,1,0,1774036501,0,1,2026-03-20 19:55:01
0,1,18,1,0,"1850866657089146912",1,1,0,1774036504,0,0,2026-03-20 19:55:04
0,1,15,1,2,"a3a8855c-a135-11e9-9cda-0a87ae2ba916",11,1,0,1774036504,0,0,2026-03-20 19:55:04
0,1,13,1,0,"a3ab86b6-a135-11e9-9cda-0a87ae2ba916",8,1,1,1774036502,0,1,2026-03-20 19:55:02
0,1,4,1,5,"2131429867387521772",6,1,1,1774036503,0,0,2026-03-20 19:55:03
0,1,9,1,3,"a3a97a01-a135-11e9-9cda-0a87ae2ba916",6,1,0,1774036507,0,0,2026-03-20 19:55:07
0,1,14,1,1,"2013067286975627866",2,1,0,1774036507,0,0,2026-03-20 19:55:07
0,1,10,1,2,"a3b4399a-a135-11e9-9cda-0a87ae2ba916",4,1,0,1774036505,0,1,2026-03-20 19:55:05
0,1,4,1,0,"1991508150894459550",4,1,0,1774036510,0,0,2026-03-20 19:55:10
0,1,7,1,0,"a3b2905a-a135-11e9-9cda-0a87ae2ba916",4,1,0,1774036510,0,0,2026-03-20 19:55:10
0,1,9,1,1,"a3b222fc-a135-11e9-9cda-0a87ae2ba916",2,1,0,1774036510,0,0,2026-03-20 19:55:10
0,1,10,1,0,"759171ce-f355-4740-948d-e14bb8f7dc0e",5,1,0,1774036512,0,0,2026-03-20 19:55:12
0,1,4,1,17,"2149950859971400242",18,1,5,1774036511,0,0,2026-03-20 19:55:11
0,1,7,1,1,"a3a96aca-a135-11e9-9cda-0a87ae2ba916",4,1,0,1774036516,0,0,2026-03-20 19:55:16
0,1,8,1,1,"a3af9a83-a135-11e9-9cda-0a87ae2ba916",7,1,0,1774036517,0,0,2026-03-20 19:55:17
0,1,3,1,9,"a3aabad8-a135-11e9-9cda-0a87ae2ba916",14,1,2,1774036516,0,0,2026-03-20 19:55:16
0,1,5,1,1,"2132204879062053464",4,1,2,1774036516,0,0,2026-03-20 19:55:16
0,1,11,1,4,"1928792940289520096",4,1,0,1774036516,0,0,2026-03-20 19:55:16
0,1,4,1,0,"a3a5f5e6-a135-11e9-9cda-0a87ae2ba916",6,1,1,1774036514,0,0,2026-03-20 19:55:14
0,1,9,1,0,"a3acea44-a135-11e9-9cda-0a87ae2ba916",2,1,0,1774036515,0,0,2026-03-20 19:55:15
0,1,10,1,0,"a3b13836-a135-11e9-9cda-0a87ae2ba916",1,1,0,1774036514,0,0,2026-03-20 19:55:14
0,1,5,1,3,"a3b24701-a135-11e9-9cda-0a87ae2ba916",6,1,0,1774036514,0,0,2026-03-20 19:55:14
0,1,13,1,1,"1963673207600511026",2,1,0,1774036514,0,0,2026-03-20 19:55:14
0,1,13,1,0,"1869054242749504212",2,1,0,1774036518,0,0,2026-03-20 19:55:18
0,1,10,1,0,"a3b23cb8-a135-11e9-9cda-0a87ae2ba916",1,1,0,1774036517,0,0,2026-03-20 19:55:17
0,1,5,1,2,"a3a75d8a-a135-11e9-9cda-0a87ae2ba916",9,1,1,1774036518,0,1,2026-03-20 19:55:18
0,1,11,1,1,"a3ad4d1b-a135-11e9-9cda-0a87ae2ba916",2,1,0,1774036519,0,2,2026-03-20 19:55:19
0,1,8,1,1,"1929538112769137066",6,1,0,1774036521,0,1,2026-03-20 19:55:21
0,1,6,1,3,"2116172334493307456",3,1,1,1774036520,0,1,2026-03-20 19:55:20
0,1,3,1,3,"a3a41004-a135-11e9-9cda-0a87ae2ba916",11,1,1,1774036520,0,0,2026-03-20 19:55:20
0,1,8,1,0,"a3b2c87c-a135-11e9-9cda-0a87ae2ba916",3,1,0,1774036518,0,0,2026-03-20 19:55:18
0,1,11,1,1,"a3af2737-a135-11e9-9cda-0a87ae2ba916",3,1,1,1774036519,0,0,2026-03-20 19:55:19
0,1,11,1,0,"90011328-f7bd-4b7b-8f95-8204a0b50f27",0,1,NA,1774036521,NA,0,2026-03-20 19:55:21
0,1,10,1,1,"2186726165999504510",4,1,1,1774036522,0,0,2026-03-20 19:55:22
0,1,5,1,3,"2141761256023053044",10,1,0,1774036521,0,0,2026-03-20 19:55:21
0,1,8,1,6,"a3a83ba1-a135-11e9-9cda-0a87ae2ba916",9,1,2,1774036523,0,0,2026-03-20 19:55:23
0,1,8,1,3,"a3b3634c-a135-11e9-9cda-0a87ae2ba916",3,1,4,1774036524,1,0,2026-03-20 19:55:24
0,1,6,1,0,"a3a547b8-a135-11e9-9cda-0a87ae2ba916",9,1,0,1774036525,0,0,2026-03-20 19:55:25
0,1,6,1,3,"1963671811736140038",9,1,0,1774036525,0,0,2026-03-20 19:55:25
0,1,11,1,0,"a60781db-2bec-4a15-a4a2-363297aefcec",4,1,0,1774036526,0,0,2026-03-20 19:55:26
0,1,10,1,0,"a3a854bf-a135-11e9-9cda-0a87ae2ba916",4,1,1,1774036525,0,0,2026-03-20 19:55:25
0,1,3,1,0,"2170354014030504722",3,1,2,1774036526,0,0,2026-03-20 19:55:26
0,1,12,1,0,"1929967657204564894",3,1,0,1774036526,0,0,2026-03-20 19:55:26
0,1,3,1,3,"a3b2d7d9-a135-11e9-9cda-0a87ae2ba916",8,1,0,1774036527,0,0,2026-03-20 19:55:27
0,1,7,1,0,"1934289130932983934",8,1,0,1774036527,0,0,2026-03-20 19:55:27
